CS_angle,F_alt,rate_HC,P_angle,Windspeed,Airspeed,Engine_thrust,Attack_angle,P_rate,Roll_rate,Yaw_rate
0.2528,9.395,117.516,0.746309,40.77,183,7.821,0.4,-2.1,-8.8,9
0.2546,10.894,29.2104,0.228197,59.74,69,7.311,0.4,0.6,24.1,17.5
0.2573,8.448,-5.3133,0.364166,64.9,107,8.173,0.4,33.4,-20.9,-16.5
0.262,11.102,16.6556,0.321638,45.85,198,9.773,0.4,-8.2,9.9,1.4
0.2654,10.393,-74.2362,-0.120368,32.48,51,10.529,0.4,11.5,-12.6,-5.2
0.2695,10.878,-61.0334,0.200336,38.87,74,10.193,0.4,30.4,7.3,-24.4
0.2744,10.7,-89.3708,-0.405457,52.87,180,9.859,0.4,2,-11.8,8.4
0.2756,9.253,136.8413,-0.082058,71.27,150,7.196,0.4,-0.3,-0.8,-5.8
0.2812,10.566,126.1051,0.719787,36.43,173,9.871,0.4,3.9,-23.2,-12.3
0.2815,10.039,-48.4331,-0.517082,79.73,158,7.031,0.4,-20.7,-15.5,-3.2
0.2874,9.795,-7.1599,0.477424,77.8,72,9.677,0.4,41.7,15.3,-21.8
0.2894,11.801,47.5864,0.02363,65.3,129,10.093,0.4,4.7,-20.9,-27.5
0.2898,10.265,58.6404,0.535754,70.69,127,9.43,0.4,33.9,4.8,-18.9
0.2905,9.351,-63.7023,0.609202,37.82,168,7.034,0.4,22.6,21.5,-27
0.2934,11.472,25.4196,0.747393,57.32,49,8.77,0.4,0.9,16.4,10.5
0.3002,8.194,-3.2682,0.246714,69.74,101,7.098,0.4,38.9,-22.1,5.5
0.3047,9.964,-44.1554,0.194829,43.99,193,7.291,0.4,-14.2,9.5,-20.8
0.3074,9.939,39.8399,-0.371333,51.7,86,10.582,0.4,42.1,23,-1.3
0.3083,8.596,-1.2688,-0.4658,67.85,50,7.886,0.4,17.4,19.7,-0.3
0.3141,10.814,27.3433,-0.1659,34.42,174,8.75,0.4,15.7,-22.4,-21.8
0.3143,8.42,128.6148,-0.100453,68.95,132,9.661,0.4,-24.4,-19.6,9
0.315,10.97,129.018,0.314408,72.34,137,10.256,0.4,-27.5,7.2,-3.5
0.3184,11.819,33.379,0.577844,58.64,93,8.311,0.4,-18,17.9,27.1
0.3208,10.603,-94.2901,0.25667,47.78,120,7.085,0.4,15.8,16.8,5.4
0.3245,8.769,77.9872,-0.372221,61.56,125,10.83,0.4,44.4,-14.5,-24
0.3251,8.559,135.9729,0.526863,66.86,71,7.736,0.5,-2.2,-4.3,-2.5
0.3299,8.692,-56.916,-0.252004,49.14,83,7.952,0.5,22.7,6,14.9
0.3346,9.41,66.1694,0.391971,56.46,115,10.112,0.5,33.7,-10.3,14
0.3412,10.103,-3.6573,0.666519,67.78,88,7.238,0.5,16.7,-9.5,-29.8
0.3456,9.976,42.8236,0.319369,77.93,139,10.96,0.5,14.2,24.4,-2.9
0.3495,9.82,96.3576,-0.121753,41.69,142,7.903,0.5,-29.3,11.9,9.6
0.3518,8.425,97.4331,-0.397556,46.81,110,7.042,0.5,32.7,-3,24
0.3585,11.832,10.8195,-0.22676,66.95,156,8.381,0.5,-29.6,-6.9,22.5
0.3619,11.447,-58.4062,0.285901,56.98,49,9.721,0.5,31.2,-10.9,-24.5
0.367,8.265,-29.2087,-0.002887,42.84,48,7.01,0.5,15.5,12,-12.1
0.3736,9.816,114.1713,0.604111,39.73,104,10.249,0.5,7.6,-9.6,2.1
0.3737,10.397,-53.8853,-0.153018,66.91,146,7.522,0.5,33.9,6.1,8.6
0.3765,10.879,138.2275,0.028082,34.15,143,7.771,0.5,11.8,-1.2,21.1
0.38,8.615,133.706,-0.145632,76.92,133,9.767,0.5,39,3.2,-29.4
0.3801,10.397,-82.1036,-0.002599,55.01,104,7.759,0.5,-27.9,-24.7,-28
0.387,9.544,-22.8041,0.506099,79.39,92,8.617,0.5,18.4,-10.4,19.2
0.392,8.869,14.2762,-0.262959,70.47,164,9.942,0.5,18.2,10.8,6
0.3928,8.919,-83.2398,-0.207485,65.1,178,7.87,0.5,-18.5,-17.1,-20.6
0.3985,11.898,48.9003,-0.245554,50.82,144,8.865,0.5,-26.6,-2,14.6
0.4054,8.521,115.1073,-0.51711,40.3,118,10.769,0.5,20.2,-23.2,19
0.4108,9.607,-63.6426,0.232148,41.89,161,8.074,0.5,37.2,-22.4,-17.1
0.4152,8.457,52.3166,0.016891,70.74,135,7.652,0.6,10.4,3.5,8.6
0.4174,8.437,95.1028,-0.421997,31.52,64,8.222,0.6,-15,5.3,-10.5
0.4195,9.55,121.4486,0.287924,69.1,50,9.88,0.6,-20.2,-22.5,-13.1
0.4254,10.06,-62.4756,-0.144224,72.34,81,7.667,0.6,-13.2,-14.8,-1.6
0.4313,10.266,-3.0634,0.275281,77.18,112,7.181,0.6,-1.5,20.3,15
0.4372,11.741,48.1464,-0.519346,69.22,131,8.031,0.6,37,-13,-22.6
0.4375,10.822,-64.3753,0.758597,48.13,66,9.492,0.6,11.2,15.5,-6.9
0.44,11.539,-63.646,-0.451584,73.67,172,9.188,0.6,16.1,-19.6,-11.1
0.4454,10.504,53.528,0.004446,36.61,93,7.303,0.6,31.6,-20.6,-17.8
0.4503,9.979,101.848,-0.306698,40.47,112,9.99,0.6,-19.5,-5.3,3.2
0.4507,8.862,-14.4574,0.220867,46.08,200,7.946,0.6,29.9,-3.7,11.1
0.4568,9.959,-23.6127,-0.367158,71.16,72,9.981,0.6,40.3,-10.4,6.3
0.4604,11.277,135.7553,0.304552,32.23,121,7.077,0.6,9.9,22.6,-26.7
0.4621,10.82,-26.6776,-0.330662,65.34,169,10.697,0.6,5.4,-19.4,8.9
0.4659,9.533,83.2616,0.658177,74.28,49,8.4,0.6,6.1,-0.8,15
0.4719,11.859,94.9722,-0.240358,56.19,103,8.428,0.6,20.6,9.7,-6.4
0.4779,8.177,134.884,-0.517392,73.45,149,7.004,0.6,10.5,-23.3,11.5
0.4791,8.626,-83.3478,0.00499,49.81,121,9.179,0.6,12.4,15.4,-17.1
0.48,10.88,-67.7086,0.333656,64.53,115,7.426,0.7,8.5,-19.3,-18.6
0.4831,8.712,51.8894,0.339676,32.2,147,9.395,0.7,2,23.4,7
0.4875,9.055,-39.0046,0.150202,51.96,54,9.936,0.7,-20.6,3.8,-23.7
0.4895,11.005,-79.7137,-0.310607,62.44,69,7.701,0.7,25.2,17.4,3.3
0.4953,11.136,12.3338,0.774661,71.58,138,9.129,0.7,-18,-0.6,-14.5
0.4965,10.449,27.0947,-0.066537,62.73,100,10.138,0.7,11.8,17.1,-5.9
0.4972,11.165,-29.9951,0.618296,48.21,151,7.603,0.7,43.4,-8.6,28.8
0.5006,11.197,-65.9494,0.604128,76.63,43,7.735,0.7,41.2,20.5,22.8
0.5066,9.1,-58.6711,-0.160574,78.21,144,9.085,0.7,-19.5,-17.3,-24.5
0.5131,11.753,-83.0181,0.718479,36.01,113,8.136,0.7,41.6,15.1,-0.3
0.5199,11.014,36.7879,0.498258,69.35,146,10.632,0.7,-20.2,-1.5,-17.8
0.5222,8.217,28.4751,0.344766,39.35,88,8.653,0.8,34.6,-15.3,-13.2
0.5237,8.679,-68.87,0.235072,33.46,85,9.892,0.8,30.8,0.2,14.4
0.5261,8.657,-36.2999,0.724315,57.83,169,9.697,0.8,-0.5,21.6,3.9
0.5309,8.788,44.7046,0.218496,39.62,176,7.015,0.8,2.5,17,-26.4
0.5363,10.389,10.9325,0.004176,35.77,59,8.987,0.8,-3.8,-23.3,9.2
0.5419,10.714,114.9464,0.530091,76.48,51,8.95,0.8,2.7,-24,-26.5
0.5453,8.543,-18.844,0.060113,57.57,199,7.745,0.8,28.7,-5.5,-24.4
0.5467,8.251,119.8955,-0.517874,79.99,144,9.998,0.8,19.3,-24.4,-27.8
0.5503,11.208,152.1151,0.479014,34.16,178,8.858,0.8,30.1,15.7,12
0.5534,9.057,17.0589,-0.219507,54.48,166,9.317,0.8,20.5,-2,-18.6
0.5565,9.2,61.9063,0.126975,75.35,82,8.855,0.8,21.6,3.4,-8.3
0.5575,11.554,82.8457,-0.242084,54.05,136,7.546,0.8,39.9,3.5,9
0.5598,8.026,127.624,-0.463905,74.78,121,7.066,0.8,-4.1,24.8,13.8
0.5635,11.331,75.9941,0.359378,51.76,120,8.327,0.8,-24.7,-12.4,-17.9
0.5694,11.763,87.8926,-0.402891,58.72,109,7.382,0.8,-19,-16.8,18.8
0.571,9.492,-14.6794,-0.132345,41.05,40,10.265,0.8,-19.4,20.6,-6.2
0.5745,9.554,-97.7798,-0.065697,34.99,129,8.218,0.8,-1.9,21.9,-1
0.5781,8.863,-92.2189,-0.071461,72.48,88,8.341,0.8,-4.8,-23.5,-8.4
0.584,11.701,-17.5569,0.485967,45.38,157,7.702,0.8,-4.7,18.2,10.4
0.585,11.22,-21.3594,0.281348,43.85,100,9.25,0.9,36.1,-20.1,-1.1
0.5866,9.711,120.3293,0.051371,70.84,175,8.144,0.9,-24.9,20.1,-29.2
0.5929,11.405,-32.5495,0.654324,56.77,79,8.548,0.9,6.3,5.7,-18.4
0.5957,9.016,-73.8822,-0.079091,53.67,105,8.8,0.9,-17.8,-0.8,18
0.5981,9.444,134.4505,0.711126,32.73,112,7.576,0.9,36.2,24.1,9.1
0.5999,9.021,0.7521,0.636695,67.91,196,9.017,0.9,-23.6,17.6,-0.8
0.6033,8.16,9.4537,-0.298992,77.22,73,10.852,0.9,-3.9,3.6,12.6
0.6058,9.39,137.3935,-0.145611,70.31,183,10.543,0.9,-24.2,-7.4,-18.4
0.6102,9.63,107.1433,0.450621,34.08,87,9.721,1,14.9,-19.3,18.3
0.6164,11.138,32.139,0.26311,39.85,139,7.217,1,-21.7,-3.1,-27.8
0.6187,8.658,151.6576,0.321973,53.75,120,9.359,1,-15.7,16.2,-6.5
0.6195,9.52,35.9335,0.553932,61.08,155,9.521,1,22.1,-10.2,-17
0.6245,8.767,3.0171,0.468428,60.46,79,8.703,1,-7.9,22.3,-10.9
0.6291,11.122,-97.2831,-0.150112,52.08,176,10.626,1,-5.9,-10.7,-5
0.6293,11.623,48.7301,0.179749,57.47,149,7.13,1,2.7,18.1,-28.4
0.6294,9.219,142.8494,0.746009,31.72,97,10.82,1,38.5,19.8,21.3
0.6364,11.106,57.4865,0.152383,62.09,140,9.744,1,-5.4,19.1,2.5
0.6379,8.93,57.7489,0.031293,55.41,180,7.609,1,-20.9,2.3,25.2
0.6404,8.089,-75.9497,-0.195364,79.07,190,10.687,1,-1.1,-4.6,-18.4
0.6415,11.187,56.2733,0.779842,40.48,136,10.609,1,37.8,-22.4,14
0.6415,10.774,-9.7628,-0.393948,70.47,151,10.917,1,-3.5,19.2,-7
0.6481,11.218,-82.9697,-0.048711,59.17,79,7.783,1,40.6,18.4,9.4
0.6523,9.385,-20.6799,0.005547,33.78,183,8.605,1,33.1,5.6,22.3
0.6583,10.82,-82.2988,0.137883,47.88,60,9.792,1.1,-6.9,22.5,-18.8
0.6613,9.391,108.4429,0.44051,79.95,123,10.787,1.1,37.2,3.5,-0.4
0.6657,9.975,59.3993,-0.222971,79.26,119,8.932,1.1,4.2,18.1,6.6
0.6711,11.617,135.7908,-0.252993,76.14,198,8.276,1.1,31,1.4,-25.3
0.6773,8.205,33.8663,0.053304,42.3,71,10.05,1.1,2,-11.4,-6.6
0.678,10.042,44.267,-0.146313,78.97,113,8.061,1.1,38,-23.1,5.6
0.6837,11.345,-11.312,-0.428068,42.24,184,9.934,1.1,14.9,-17.9,29.9
0.6875,10.423,136.746,0.112579,39.95,146,7.729,1.1,33,-15.2,-27.3
0.6943,11.26,-11.5517,0.207162,78.23,142,8.892,1.1,-19.4,-13.4,-6.1
0.6974,8.583,75.7182,0.3491,46,77,7.146,1.1,-22.7,-6.1,-13.7
0.7004,11.589,-101.0296,0.341331,36.19,131,7.457,1.1,-19.2,-9.5,26.3
0.7024,10.723,125.6804,0.448909,49.54,83,10.686,1.1,-9,-0.6,10.5
0.7035,8.017,71.5002,-0.038633,66.8,179,9.735,1.1,0.6,21.4,18.8
0.7082,9.22,-105.8192,0.346751,48.83,115,10.016,1.1,-14.5,-9.5,9.4
0.7116,10.192,94.5713,0.392644,63.35,107,9.081,1.1,11.7,-24.3,3.3
0.7172,11.755,84.7072,-0.025012,58.21,183,9.508,1.2,-26,-6.3,5.4
0.7177,9.249,-26.9761,0.227201,53.43,150,10.235,1.2,-28,-20.2,9.6
0.7193,11.109,-11.3086,0.213123,49.17,156,7.813,1.2,-21.3,-23.3,15.2
0.7239,11.553,50.593,-0.16012,37.22,146,10.06,1.2,7.4,-1.8,22.8
0.7239,8.39,26.1748,-0.232142,39.12,170,7.029,1.2,0.1,23.9,-18.2
0.7258,10.903,-101.3787,-0.512799,74.45,83,8.898,1.2,8.7,-14.2,13.8
0.7272,11.827,17.2696,-0.077716,64.41,111,8.641,1.2,39.5,-11.5,-13.7
0.733,11.348,-23.3615,-0.191342,36.77,85,7.42,1.2,-25.3,1.7,-2.9
0.7375,11.572,-86.7441,0.459009,59.18,43,8.619,1.2,-17.6,9.1,14.2
0.7418,8.469,-33.7822,0.075276,46.53,85,8.37,1.2,37.6,1.5,-15.5
0.7451,8.869,33.4799,0.716933,64.56,169,7.487,1.2,-24.2,-11.8,10
0.7476,8.169,145.684,0.422823,43.24,182,7.744,1.2,-2.6,-21.7,-11.7
0.7487,9.724,-19.2852,-0.021545,73.58,66,8.446,1.2,-24.1,-22,-13.1
0.7547,8.271,-95.0338,0.671088,36.8,158,10.008,1.2,41.5,7.4,19.4
0.7588,9.741,-40.2086,0.225778,53.26,129,7.074,1.2,6.7,14.1,9.9
0.7638,8.254,-23.9119,0.695649,77.8,87,7.753,1.2,-5.9,-7.4,8
0.7701,9.048,24.2267,0.634783,76.53,126,7.596,1.2,16.3,-3.8,-12.2
0.7703,11.228,1.6332,0.220937,64.27,193,8.754,1.2,-13.2,10.1,26.4
0.7756,10.05,63.1207,-0.216881,47.72,88,10.439,1.3,25.7,23.6,4
0.7772,10.861,77.7845,-0.050065,50.27,43,10.727,1.3,8.4,15.1,-20.9
0.7811,11.802,55.1584,0.310572,37.11,88,8.74,1.3,40.8,12.8,-25.9
0.7862,9.307,-16.1636,0.357202,34.82,166,7.529,1.3,5.2,-22.8,-15.6
0.787,11.453,-4.586,0.396012,36.63,184,9.221,1.3,-18.8,-12.3,9.1
0.7874,11.487,-69.041,0.443308,36.25,171,7.158,1.3,-19.3,-15.2,-21.2
0.7874,9.705,21.8684,0.395421,73.45,197,9.809,1.3,43.2,-11.7,28.1
0.792,11.865,85.5795,0.586536,53.55,71,10.153,1.3,22.9,23.8,29.3
0.7972,10.393,-5.6233,-0.074734,55.61,135,8.873,1.3,4.4,12.9,8
0.7983,11.963,-96.2798,0.345569,47.77,101,8.242,1.3,-6.7,8.2,13.8
0.8001,10.212,116.2677,0.72272,77.43,186,7.389,1.3,39,10.9,-8.6
0.8048,11.851,58.561,-0.390429,59.75,184,9.935,1.3,31.5,18.3,-18.5
0.8071,11.811,28.3583,0.174222,38.44,65,7.066,1.3,12.5,22.4,16.3
0.8095,11.585,9.5062,0.200493,68.82,117,10.53,1.3,9.8,13.1,18.4
0.8102,12,85.9902,0.452266,37.48,150,7.482,1.3,-0.2,10.3,-17.1
0.8139,10.294,40.5843,0.694652,73.63,192,8.556,1.3,32.2,7.8,26.1
0.8209,11.289,-35.6227,-0.479121,53.36,42,7.575,1.3,8.8,-2.9,-6.9
0.8248,10.757,112.9441,-0.200147,50.58,98,8.062,1.3,27.6,-10.4,-4.4
0.8266,9.483,89.1581,0.677753,41.59,52,7.875,1.3,24,-2.1,26.5
0.8297,9.498,148.5498,0.157402,63,174,7.062,1.3,15.2,-9.9,-17.2
0.8308,8.04,63.6103,0.617029,59.24,183,8.637,1.3,29.6,24.4,-15
0.8377,9.136,76.4776,0.473744,54.74,94,8.948,1.4,-24,1.8,-15.1
0.838,10.464,117.8946,-0.047421,59.56,175,8.437,1.4,40.7,-11.5,-21.5
0.844,8.077,18.809,0.577837,63.88,194,7.538,1.4,26.2,-9.6,16.2
0.8474,11.184,124.0858,0.443518,43.3,81,9.603,1.4,10.9,-16.6,22.9
0.8474,9.87,-6.5883,0.577092,52.62,144,8.945,1.4,27.1,-13.4,-15.8
0.8509,9.784,107.3416,-0.440184,57.22,51,9.583,1.4,26.1,13.7,0.3
0.8518,9.617,75.9098,-0.495516,39.68,62,7.327,1.4,-14.7,-1.4,6
0.8587,9.883,-95.5279,-0.5133,45.42,115,8.457,1.4,21,-12.1,7.9
0.8604,10.799,99.6446,0.524831,35.62,139,10.821,1.4,26.5,3,26.3
0.8641,10.181,-47.8856,0.327678,45.17,127,10.39,1.4,-18.3,-9.4,26.2
0.8649,9.261,81.8363,-0.107652,59.29,84,9.442,1.4,0.4,-3.1,1.6
0.8661,9.991,143.1104,0.423485,59.75,54,8.866,1.4,3.7,7.4,-24
0.8711,9.122,80.8507,-0.216198,35.19,112,9.108,1.4,16.3,0.5,-14.2
0.875,10.129,41.4536,-0.149453,31.78,164,8.418,1.4,32.8,-22.5,11.4
0.8787,10.946,-95.7199,-0.1663,40.04,191,9.254,1.4,5.2,8.3,17
0.8797,10.563,140.5277,-0.001809,56.17,107,7.169,1.4,-15.1,-3,-4
0.8862,11.071,3.1859,-0.125747,73.72,67,7.03,1.5,37.1,14.8,1.1
0.8874,11.527,4.3586,-0.489885,48.96,180,9.124,1.5,-22.3,18.9,13.8
0.8894,8.585,80.3675,0.233139,68.29,127,8.092,1.5,32.9,-5.2,-4.3
0.8959,10.02,-56.5258,0.080414,32.51,85,7.211,1.5,-20.6,16.8,-29.9
0.8995,8.891,45.0672,-0.162814,49.3,113,8.391,1.5,-4,15.4,29.8
0.9031,8.683,99.504,0.733822,54.71,82,9.778,1.5,-4.5,3.2,-26.5
0.9034,8.133,0.5029,-0.020525,35.47,178,9.971,1.5,-3.9,22.1,-29.5
0.9038,10.271,107.6912,-0.039087,61.51,118,7.027,1.5,0.8,-23.7,-9.5
0.907,9.782,71.4779,-0.45176,49.71,151,8.693,1.5,-27.7,9.6,-5.3
0.9136,8.695,48.3638,-0.250151,80,185,8.108,1.5,10.4,-6.3,5.9
0.9137,11.009,39.07,0.444523,68.9,160,7.765,1.5,-20.3,14.4,-29.8
0.9151,10.478,-67.1436,-0.425116,58.86,185,8.181,1.5,40.9,24.9,-2.6
0.921,9.038,72.0977,-0.511506,38.43,43,8.646,1.5,-7.8,-10.8,28.2
0.9277,10.429,-66.2626,-0.145768,72.14,62,10.562,1.5,19,-10.3,-6.5
0.9306,8.038,-70.5402,-0.218798,53.94,105,10.127,1.5,-2.8,-11.7,-9.7
0.933,11.241,-58.2325,0.732533,43.41,42,7.782,1.5,-17.2,-11.2,14.3
0.9381,9.549,25.0367,-0.155219,43.22,92,8.149,1.5,13.1,-21.2,-16.6
0.939,10.301,139.3778,-0.161137,68.55,112,10.56,1.5,-2.7,-8.5,26.1
0.9457,10.81,-46.143,0.662322,36.19,106,7.005,1.5,17.8,19.5,-12.8
0.946,11.34,-1.6308,0.76923,76.51,177,10.376,1.5,26.7,5.2,20.8
0.946,10.936,-0.4817,0.306921,68.67,172,9.906,1.5,11.1,21.6,-26.5
0.9475,8.22,128.1655,0.473935,32.33,156,10.571,1.5,-10.1,-7,-23.7
0.952,9.373,-105.4275,0.429078,72.09,186,10.248,1.6,15.9,24.1,4.5
0.9533,11.597,66.5678,0.254575,57.27,139,9.43,1.6,3.5,-20,-2.9
0.9575,11.627,-73.5145,0.60704,46.43,61,8.363,1.6,-8,18.4,-26
0.9596,11.052,87.1446,0.093825,52.33,138,9.42,1.6,-26.7,-8.4,-4.6
0.9606,8.17,-56.0273,0.638534,35.52,145,7.576,1.6,-7.2,-3.7,-28.8
0.9656,11.278,50.6895,-0.391122,59.09,63,7.047,1.6,-19.3,-23.7,12.2
0.9725,11.986,69.1464,0.537979,50.16,144,7.961,1.6,-18.9,21.7,-2.7
0.9727,10.062,83.397,-0.088473,76.62,47,10.559,1.6,-2.2,4.6,3
0.9795,11.321,110.99,0.783852,74.57,158,7.591,1.6,-29,-23.1,-2.6
0.9836,8.383,-15.7675,0.425694,65.1,68,7.397,1.6,-17.6,3.1,2
0.9878,11.703,77.8243,0.386548,61.45,47,10.359,1.6,39.3,-23.1,20.6
0.9939,8.499,41.233,-0.097272,68.5,40,9.083,1.6,15.8,-11.1,-6.8
0.996,9.105,121.9971,0.711984,31.82,195,8.666,1.6,-15.9,-23.5,-12.3
0.9979,11.177,-2.4751,0.434004,34.96,113,10.756,1.6,4.9,13.8,-15.7
0.9998,8.94,-49.7068,-0.170118,79.17,158,10.059,1.6,34.1,3.1,-8.1
1.0068,8.612,7.273,0.742378,32.86,170,10.123,1.7,-9.4,2,-2.3
1.0095,11.827,-75.7787,0.037505,38.48,89,9.972,1.7,-11.6,-10.5,-16.9
1.0112,10.898,-68.4824,0.32846,46.8,113,10.79,1.7,35.7,4,17.1
